"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,500,500,1,6528,148,6176,136,311770,23.4118,310.162,407,6176
1,1,500,500,1,6528,148,6352,142,235913,19.7042,230.169,420,6352
2,1,500,500,1,6528,148,6528,148,251506,17.1622,245.784,446,6528
3,1,500,500,1,6528,148,6528,148,122628,12.7905,118.723,448,6528
4,1,500,500,1,6528,148,6352,146,501217,24.3562,495.205,429,6352
5,1,500,500,1,6528,148,6528,148,191172,12.8446,187.912,430,6528
6,1,500,500,1,6528,148,6352,144,246278,15.7569,244.958,433,6352
7,1,500,500,1,6528,148,6352,146,168421,16.2397,164.788,433,6352
8,1,500,500,1,6528,148,6174,146,248703,15.4247,252.466,402,6174
9,1,500,500,1,6528,148,6352,142,321258,23.5423,325.599,425,6352
10,1,500,500,1,6528,148,6352,146,214453,13.9589,210.938,430,6352
11,1,500,500,1,6528,148,6528,148,406632,21.3378,402.128,450,6528
12,1,500,500,1,6528,148,5952,130,194738,13.5462,190.469,382,5952
13,1,500,500,1,6528,148,6174,146,170757,12.9178,168.966,431,6174
14,1,500,500,1,6528,148,6174,134,429555,28.7537,425.09,405,6174
15,1,500,500,1,6528,148,6528,148,128442,11.9122,131.365,435,6528
16,1,500,500,1,6528,148,6517,148,122215,12.4392,118.52,450,6517
17,1,500,500,1,6528,148,6174,134,349097,17.3433,350.097,435,6174
18,1,500,500,1,6528,148,6528,148,289329,19.6216,283.514,438,6528
19,1,500,500,1,6528,148,6352,140,289693,17.6214,292.5,429,6352
20,1,500,500,1,6528,148,6528,148,141785,12.473,138.047,449,6528
21,1,500,500,1,6528,148,6352,144,167414,13.5417,164.576,417,6352
22,1,500,500,1,6528,148,6174,140,216913,14.3214,216.914,420,6174
23,1,500,500,1,6528,148,6276,140,220910,15.2071,216.35,428,6276
24,1,500,500,1,6528,148,6352,144,240335,18.1528,237.972,433,6352
25,1,500,500,1,6528,148,6528,148,246154,15.0676,250.007,453,6528
26,1,500,500,1,6528,148,6528,148,169144,12.277,169.574,434,6528
27,1,500,500,1,6528,148,6463,146,310580,22.8904,304.767,431,6463
28,1,500,500,1,6528,148,6528,148,244440,17.8581,241.811,441,6528
29,1,500,500,1,6528,148,6352,148,179528,12.4189,175.858,435,6352
30,1,500,500,1,6528,148,6528,148,310864,16.7162,326.264,451,6528
31,1,500,500,1,6528,148,6176,138,381757,27.0652,373.145,409,6176
32,1,500,500,1,6528,148,6528,148,137657,13.6892,137.216,431,6528
33,1,500,500,1,6528,148,6528,148,178416,13.5405,174.75,454,6528
34,1,500,500,1,6528,148,6352,142,172321,15.3803,167.514,435,6352
35,1,500,500,1,6528,148,6173,144,267126,16.4931,264.292,432,6173
36,1,500,500,1,6528,148,6352,140,173003,14.8714,168.729,428,6352
37,1,500,500,1,6528,148,6352,146,250504,18.1781,246.11,424,6352
38,1,500,500,1,6528,148,6528,148,189486,15.1149,184.892,450,6528
39,1,500,500,1,6528,148,5996,136,117717,12.3676,114.647,390,5996
