"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,300,100,1,6528,148,6528,148,59468.7,14.5,54.3784,849,6528
1,1,300,100,1,6528,148,6352,140,51462.8,13.4214,46.8643,825,6352
2,1,300,100,1,6528,148,6442,146,52847.9,15.0342,47.4932,870,6442
3,1,300,100,1,6528,148,6528,148,67567.3,17.4662,62.9054,849,6528
4,1,300,100,1,6528,148,6174,142,58935.1,14.7958,55.831,790,6174
5,1,300,100,1,6528,148,6528,148,56680.8,15.9865,53.4932,859,6528
6,1,300,100,1,6528,148,6528,148,69943.2,15.7095,65.3649,854,6528
7,1,300,100,1,6528,148,6528,148,61313.7,14.6486,56.3041,869,6528
8,1,300,100,1,6528,148,6528,148,69861,16.6892,65.277,848,6528
9,1,300,100,1,6528,148,6528,148,54724.1,15.1081,52.5338,839,6528
10,1,300,100,1,6528,148,6528,148,58585.8,16.5743,55.0676,853,6528
11,1,300,100,1,6528,148,6528,148,48496.3,13.25,45.9527,857,6528
12,1,300,100,1,6528,148,6528,148,53031.2,13.9932,48.4324,862,6528
13,1,300,100,1,6528,148,6352,140,52337.3,14.1286,48.1286,858,6352
14,1,300,100,1,6528,148,6528,148,48221.2,13.5405,49.4324,858,6528
15,1,300,100,1,6528,148,6528,148,74903.4,17.1216,69.5338,841,6528
16,1,300,100,1,6528,148,6528,148,62919.4,14.7635,58.4797,885,6528
17,1,300,100,1,6528,148,6341,142,73793.4,17.2254,67.6901,811,6341
18,1,300,100,1,6528,148,6297,141,63565.7,17.0709,58.0496,838,6297
19,1,300,100,1,6528,148,6528,148,50811.2,13.723,46.6824,855,6528
20,1,300,100,1,6528,148,6528,148,52342.4,15.3041,52.8108,852,6528
21,1,300,100,1,6528,148,6497,147,67231.4,17.0952,66.7483,877,6497
22,1,300,100,1,6528,148,6335,139,58574.9,15.741,54.0576,854,6335
23,1,300,100,1,6528,148,6503,148,67241.8,15.9797,62.4122,856,6503
24,1,300,100,1,6528,148,6352,142,56790.1,14.0775,52.6831,848,6352
25,1,300,100,1,6528,148,6457,147,64856.6,16.1361,63.034,871,6457
26,1,300,100,1,6528,148,6528,148,60345.8,17.3649,63.0338,860,6528
27,1,300,100,1,6528,148,6528,148,59469.5,14.723,55.1081,859,6528
28,1,300,100,1,6528,148,6528,148,77275.1,18.0878,71.5811,844,6528
29,1,300,100,1,6528,148,6528,148,66764.4,15.9662,62.8581,907,6528
30,1,300,100,1,6528,148,6528,148,60346.7,16.3716,55.6824,872,6528
31,1,300,100,1,6528,148,6528,148,49329.3,13.8243,52.7297,871,6528
32,1,300,100,1,6528,148,6528,148,90042.6,21.473,85.9392,867,6528
33,1,300,100,1,6528,148,6528,148,71608.7,17.7297,66.6824,869,6528
34,1,300,100,1,6528,148,6528,148,55002.8,14.4324,49.4662,847,6528
35,1,300,100,1,6528,148,6352,144,71253.5,16.4375,66.0694,856,6352
36,1,300,100,1,6528,148,6526,148,49140.1,15.1554,45.6554,849,6526
37,1,300,100,1,6528,148,6528,148,46240.2,15.0676,43.8243,855,6528
38,1,300,100,1,6528,148,6528,148,66426.9,16.5608,62.027,876,6528
39,1,300,100,1,6528,148,6484,147,58006.8,14.9456,54.585,833,6484
