"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,100,0,1,6528,148,6362,142,1.00355e+07,26.6549,26.507,1681,6361
0,0,100,0,1,6528,148,6362,142,1.00355e+07,26.6549,26.507,1681,6361
1,0,100,0,1,6528,148,6459,142,1.00351e+07,26.6056,26.3521,1662,6458
1,0,100,0,1,6528,148,6359,144,1.00349e+07,26.625,26.3472,1698,6358
2,0,100,0,1,6528,148,6348,138,1.00353e+07,26.5942,26.3768,1664,6347
2,0,100,0,1,6528,148,6379,142,1.0035e+07,26.6197,26.3521,1697,6378
3,0,100,0,1,6528,148,6406,142,1.00349e+07,26.5986,26.2817,1724,6405
3,0,100,0,1,6528,148,6409,142,1.00357e+07,27.1127,26.9648,1691,6408
4,0,100,0,1,6528,148,6467,146,1.0036e+07,27.2192,27.0137,1724,6466
4,0,100,0,1,6528,148,6381,142,1.00348e+07,26.6127,26.3099,1725,6380
