"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,0,100,0,0,6528,148,6377,140,1.01094e+07,68.45,76.4429,2025,6376
1,0,100,0,0,6528,148,5087,112,1.0104e+07,63.9732,70.125,1369,5086
2,0,100,0,0,6528,148,6440,148,1.00906e+07,53.5946,58.9324,2035,6439
3,0,100,0,0,6528,148,6404,146,1.00667e+07,33.2945,39.9384,2066,6403
4,0,100,0,0,6528,148,6258,148,1.01013e+07,59.9527,66.4257,1743,6257
5,0,100,0,0,6528,148,6302,148,1.01114e+07,69.0338,77.8919,1956,6301
6,0,100,0,0,6528,148,6297,145,1.00943e+07,57.8207,64.1103,1819,6296
