"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,100,0,1,6528,148,6528,148,326695,28.0676,323.885,1650,6528
1,1,100,0,1,6528,148,6528,148,333096,28.8108,325.122,1691,6528
2,1,100,0,1,6528,148,6528,148,350619,28.0608,344.959,1630,6528
3,1,100,0,1,6528,148,6528,148,393111,28.7905,393.155,1689,6528
4,1,100,0,1,6528,148,6528,148,354828,28.6959,354.946,1657,6528
