"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,500,0,1,6528,148,6352,146,191305,15.363,187.863,414,6352
1,1,500,0,1,6528,148,6528,148,245910,21.3986,240.203,436,6528
2,1,500,0,1,6528,148,5996,144,226110,16.4444,220.924,409,5996
3,1,500,0,1,6528,148,6528,148,204410,18.1216,198.986,441,6528
4,1,500,0,1,6528,148,6528,148,225724,14.7635,222.514,440,6528
5,1,500,0,1,6528,148,6528,148,222657,18.5,218.649,453,6528
6,1,500,0,1,6528,148,6352,142,196381,11.6831,192.81,423,6352
7,1,500,0,1,6528,148,6174,140,212707,12.1571,209.9,434,6174
