"id","Scenario","Actual Range","Protocol","Buildings","Total nodes","Nodes on circ","Total coverage","Coverage on circ","Alert received mean time","Hops","Slots","Messages sent","Messages received"
0,1,500,0,1,6528,148,5996,132,142229,11.5152,139.114,418,5996
1,1,500,0,1,6528,148,6528,148,402171,22.5405,398.399,431,6528
2,1,500,0,1,6528,148,5816,134,401045,18.6493,394.567,385,5816
3,1,500,0,1,6528,148,6174,138,174619,12.7319,171.377,416,6174
4,1,500,0,1,6528,148,6528,148,278466,16.1554,273.574,454,6528
